"Step","visionary-sweep-1 - Ensamble 0 - Fall predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 0 - Fall predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 0 - Fall predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 1 - Fall predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 1 - Fall predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 1 - Fall predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 2 - Fall predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 2 - Fall predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 2 - Fall predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 3 - Fall predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 3 - Fall predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 3 - Fall predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 4 - Fall predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 4 - Fall predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 4 - Fall predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 0 - Fall targets (24h) Hub: NP15","visionary-sweep-1 - Ensamble 0 - Fall targets (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 0 - Fall targets (24h) Hub: NP15__MAX"
"0","32.24521255493164","32.24521255493164","32.24521255493164","29.841289520263672","29.841289520263672","29.841289520263672","27.32769775390625","27.32769775390625","27.32769775390625","31.22472381591797","31.22472381591797","31.22472381591797","37.674644470214844","37.674644470214844","37.674644470214844","28.270000457763672","28.270000457763672","28.270000457763672"
"1","32.900821685791016","32.900821685791016","32.900821685791016","28.739971160888672","28.739971160888672","28.739971160888672","27.851104736328125","27.851104736328125","27.851104736328125","34.24555587768555","34.24555587768555","34.24555587768555","34.01339340209961","34.01339340209961","34.01339340209961","29.34000015258789","29.34000015258789","29.34000015258789"
"2","28.86029815673828","28.86029815673828","28.86029815673828","25.665576934814453","25.665576934814453","25.665576934814453","26.185874938964844","26.185874938964844","26.185874938964844","31.654361724853516","31.654361724853516","31.654361724853516","27.993955612182617","27.993955612182617","27.993955612182617","29.860000610351562","29.860000610351562","29.860000610351562"
"3","27.356327056884766","27.356327056884766","27.356327056884766","25.72914695739746","25.72914695739746","25.72914695739746","24.28800392150879","24.28800392150879","24.28800392150879","31.7040958404541","31.7040958404541","31.7040958404541","25.669286727905273","25.669286727905273","25.669286727905273","23.34000015258789","23.34000015258789","23.34000015258789"
"4","26.41704559326172","26.41704559326172","26.41704559326172","25.416044235229492","25.416044235229492","25.416044235229492","22.842971801757812","22.842971801757812","22.842971801757812","31.58985710144043","31.58985710144043","31.58985710144043","24.21602439880371","24.21602439880371","24.21602439880371","19.700000762939453","19.700000762939453","19.700000762939453"
"5","25.22983741760254","25.22983741760254","25.22983741760254","27.14727210998535","27.14727210998535","27.14727210998535","22.066110610961914","22.066110610961914","22.066110610961914","29.6838436126709","29.6838436126709","29.6838436126709","25.224781036376953","25.224781036376953","25.224781036376953","20.40999984741211","20.40999984741211","20.40999984741211"
"6","29.37188720703125","29.37188720703125","29.37188720703125","30.759464263916016","30.759464263916016","30.759464263916016","23.18804168701172","23.18804168701172","23.18804168701172","29.61077880859375","29.61077880859375","29.61077880859375","30.591272354125977","30.591272354125977","30.591272354125977","22.299999237060547","22.299999237060547","22.299999237060547"
"7","30.884899139404297","30.884899139404297","30.884899139404297","34.03453063964844","34.03453063964844","34.03453063964844","25.924468994140625","25.924468994140625","25.924468994140625","29.244888305664062","29.244888305664062","29.244888305664062","33.89585876464844","33.89585876464844","33.89585876464844","26.920000076293945","26.920000076293945","26.920000076293945"
"8","31.094987869262695","31.094987869262695","31.094987869262695","35.016937255859375","35.016937255859375","35.016937255859375","29.091796875","29.091796875","29.091796875","29.653146743774414","29.653146743774414","29.653146743774414","36.534610748291016","36.534610748291016","36.534610748291016","29.889999389648438","29.889999389648438","29.889999389648438"
"9","32.428749084472656","32.428749084472656","32.428749084472656","37.22357177734375","37.22357177734375","37.22357177734375","31.867218017578125","31.867218017578125","31.867218017578125","31.515024185180664","31.515024185180664","31.515024185180664","39.565982818603516","39.565982818603516","39.565982818603516","30.850000381469727","30.850000381469727","30.850000381469727"
"10","32.46772384643555","32.46772384643555","32.46772384643555","37.6934700012207","37.6934700012207","37.6934700012207","32.80458068847656","32.80458068847656","32.80458068847656","32.78706359863281","32.78706359863281","32.78706359863281","42.265750885009766","42.265750885009766","42.265750885009766","33.560001373291016","33.560001373291016","33.560001373291016"
"11","35.87081527709961","35.87081527709961","35.87081527709961","42.029136657714844","42.029136657714844","42.029136657714844","34.8240852355957","34.8240852355957","34.8240852355957","34.40023422241211","34.40023422241211","34.40023422241211","45.42136764526367","45.42136764526367","45.42136764526367","39.33000183105469","39.33000183105469","39.33000183105469"
"12","48.78350830078125","48.78350830078125","48.78350830078125","53.72327423095703","53.72327423095703","53.72327423095703","48.76333236694336","48.76333236694336","48.76333236694336","42.62705612182617","42.62705612182617","42.62705612182617","54.70956802368164","54.70956802368164","54.70956802368164","83.08999633789062","83.08999633789062","83.08999633789062"
"13","62.49877166748047","62.49877166748047","62.49877166748047","62.05147933959961","62.05147933959961","62.05147933959961","66.30266571044922","66.30266571044922","66.30266571044922","50.668270111083984","50.668270111083984","50.668270111083984","61.69855880737305","61.69855880737305","61.69855880737305","73.80000305175781","73.80000305175781","73.80000305175781"
"14","56.074214935302734","56.074214935302734","56.074214935302734","57.50296401977539","57.50296401977539","57.50296401977539","49.66042709350586","49.66042709350586","49.66042709350586","50.52873992919922","50.52873992919922","50.52873992919922","54.22518539428711","54.22518539428711","54.22518539428711","55.77000045776367","55.77000045776367","55.77000045776367"
"15","47.819034576416016","47.819034576416016","47.819034576416016","48.284793853759766","48.284793853759766","48.284793853759766","41.293113708496094","41.293113708496094","41.293113708496094","44.34553527832031","44.34553527832031","44.34553527832031","45.2899284362793","45.2899284362793","45.2899284362793","46.150001525878906","46.150001525878906","46.150001525878906"
"16","43.0671272277832","43.0671272277832","43.0671272277832","43.361778259277344","43.361778259277344","43.361778259277344","37.02223587036133","37.02223587036133","37.02223587036133","39.403282165527344","39.403282165527344","39.403282165527344","40.735321044921875","40.735321044921875","40.735321044921875","45.099998474121094","45.099998474121094","45.099998474121094"
"17","40.01360321044922","40.01360321044922","40.01360321044922","39.273345947265625","39.273345947265625","39.273345947265625","32.7142333984375","32.7142333984375","32.7142333984375","35.1905632019043","35.1905632019043","35.1905632019043","37.95153045654297","37.95153045654297","37.95153045654297","37.709999084472656","37.709999084472656","37.709999084472656"
"18","37.971168518066406","37.971168518066406","37.971168518066406","37.68700408935547","37.68700408935547","37.68700408935547","29.64725685119629","29.64725685119629","29.64725685119629","33.175689697265625","33.175689697265625","33.175689697265625","37.27397155761719","37.27397155761719","37.27397155761719","37.9900016784668","37.9900016784668","37.9900016784668"
"19","34.130332946777344","34.130332946777344","34.130332946777344","33.943199157714844","33.943199157714844","33.943199157714844","28.317363739013672","28.317363739013672","28.317363739013672","30.233505249023438","30.233505249023438","30.233505249023438","34.02194595336914","34.02194595336914","34.02194595336914","30.43000030517578","30.43000030517578","30.43000030517578"
"20","30.957916259765625","30.957916259765625","30.957916259765625","31.345352172851562","31.345352172851562","31.345352172851562","27.210376739501953","27.210376739501953","27.210376739501953","29.8011531829834","29.8011531829834","29.8011531829834","32.89029312133789","32.89029312133789","32.89029312133789","28.530000686645508","28.530000686645508","28.530000686645508"
"21","30.686384201049805","30.686384201049805","30.686384201049805","31.297731399536133","31.297731399536133","31.297731399536133","26.356918334960938","26.356918334960938","26.356918334960938","30.221202850341797","30.221202850341797","30.221202850341797","33.20338821411133","33.20338821411133","33.20338821411133","32.18000030517578","32.18000030517578","32.18000030517578"
"22","30.916637420654297","30.916637420654297","30.916637420654297","32.13855743408203","32.13855743408203","32.13855743408203","26.283164978027344","26.283164978027344","26.283164978027344","30.656034469604492","30.656034469604492","30.656034469604492","33.493865966796875","33.493865966796875","33.493865966796875","35.650001525878906","35.650001525878906","35.650001525878906"
"23","30.841493606567383","30.841493606567383","30.841493606567383","32.87400817871094","32.87400817871094","32.87400817871094","26.711233139038086","26.711233139038086","26.711233139038086","30.42501449584961","30.42501449584961","30.42501449584961","32.892730712890625","32.892730712890625","32.892730712890625","43.029998779296875","43.029998779296875","43.029998779296875"
"24","36.99543380737305","36.99543380737305","36.99543380737305","34.077186584472656","34.077186584472656","34.077186584472656","31.821670532226562","31.821670532226562","31.821670532226562","39.77915573120117","39.77915573120117","39.77915573120117","32.044864654541016","32.044864654541016","32.044864654541016","40.630001068115234","40.630001068115234","40.630001068115234"
"25","34.34656524658203","34.34656524658203","34.34656524658203","32.75923156738281","32.75923156738281","32.75923156738281","27.9986629486084","27.9986629486084","27.9986629486084","35.92137908935547","35.92137908935547","35.92137908935547","29.242849349975586","29.242849349975586","29.242849349975586","40.58000183105469","40.58000183105469","40.58000183105469"
"26","27.844274520874023","27.844274520874023","27.844274520874023","30.54582405090332","30.54582405090332","30.54582405090332","24.78070831298828","24.78070831298828","24.78070831298828","30.33656883239746","30.33656883239746","30.33656883239746","24.854124069213867","24.854124069213867","24.854124069213867","38.52000045776367","38.52000045776367","38.52000045776367"
"27","27.37342643737793","27.37342643737793","27.37342643737793","32.59673309326172","32.59673309326172","32.59673309326172","25.62902069091797","25.62902069091797","25.62902069091797","33.990482330322266","33.990482330322266","33.990482330322266","25.69002342224121","25.69002342224121","25.69002342224121","35.630001068115234","35.630001068115234","35.630001068115234"
"28","33.868896484375","33.868896484375","33.868896484375","33.28217697143555","33.28217697143555","33.28217697143555","30.896690368652344","30.896690368652344","30.896690368652344","37.959190368652344","37.959190368652344","37.959190368652344","30.846832275390625","30.846832275390625","30.846832275390625","33.380001068115234","33.380001068115234","33.380001068115234"
"29","39.201168060302734","39.201168060302734","39.201168060302734","34.53732681274414","34.53732681274414","34.53732681274414","35.234806060791016","35.234806060791016","35.234806060791016","43.764339447021484","43.764339447021484","43.764339447021484","34.91812515258789","34.91812515258789","34.91812515258789","34.54999923706055","34.54999923706055","34.54999923706055"
"30","41.47291946411133","41.47291946411133","41.47291946411133","36.58464431762695","36.58464431762695","36.58464431762695","37.39722442626953","37.39722442626953","37.39722442626953","43.68750762939453","43.68750762939453","43.68750762939453","35.36798858642578","35.36798858642578","35.36798858642578","36.119998931884766","36.119998931884766","36.119998931884766"
"31","40.66490173339844","40.66490173339844","40.66490173339844","38.77619934082031","38.77619934082031","38.77619934082031","40.57564163208008","40.57564163208008","40.57564163208008","43.5311164855957","43.5311164855957","43.5311164855957","35.16761016845703","35.16761016845703","35.16761016845703","39.5","39.5","39.5"
"32","40.837646484375","40.837646484375","40.837646484375","42.382015228271484","42.382015228271484","42.382015228271484","38.70167922973633","38.70167922973633","38.70167922973633","43.797080993652344","43.797080993652344","43.797080993652344","34.73027038574219","34.73027038574219","34.73027038574219","44.25","44.25","44.25"
"33","42.99826431274414","42.99826431274414","42.99826431274414","49.3880729675293","49.3880729675293","49.3880729675293","41.16322708129883","41.16322708129883","41.16322708129883","54.28416061401367","54.28416061401367","54.28416061401367","40.48735427856445","40.48735427856445","40.48735427856445","48.29999923706055","48.29999923706055","48.29999923706055"
"34","46.34162902832031","46.34162902832031","46.34162902832031","55.68748092651367","55.68748092651367","55.68748092651367","50.592735290527344","50.592735290527344","50.592735290527344","69.81993865966797","69.81993865966797","69.81993865966797","54.594810485839844","54.594810485839844","54.594810485839844","47.83000183105469","47.83000183105469","47.83000183105469"
"35","44.73381805419922","44.73381805419922","44.73381805419922","56.545677185058594","56.545677185058594","56.545677185058594","56.195980072021484","56.195980072021484","56.195980072021484","59.37276840209961","59.37276840209961","59.37276840209961","63.393978118896484","63.393978118896484","63.393978118896484","47.099998474121094","47.099998474121094","47.099998474121094"
"36","42.706504821777344","42.706504821777344","42.706504821777344","51.75729751586914","51.75729751586914","51.75729751586914","46.82673263549805","46.82673263549805","46.82673263549805","49.388999938964844","49.388999938964844","49.388999938964844","50.86410903930664","50.86410903930664","50.86410903930664","50.290000915527344","50.290000915527344","50.290000915527344"
"37","40.81834411621094","40.81834411621094","40.81834411621094","45.925724029541016","45.925724029541016","45.925724029541016","42.35470199584961","42.35470199584961","42.35470199584961","45.65262985229492","45.65262985229492","45.65262985229492","44.261383056640625","44.261383056640625","44.261383056640625","45.36000061035156","45.36000061035156","45.36000061035156"
"38","39.89320755004883","39.89320755004883","39.89320755004883","43.025875091552734","43.025875091552734","43.025875091552734","39.78029251098633","39.78029251098633","39.78029251098633","42.8730583190918","42.8730583190918","42.8730583190918","41.37379455566406","41.37379455566406","41.37379455566406","39.59000015258789","39.59000015258789","39.59000015258789"
"39","39.089683532714844","39.089683532714844","39.089683532714844","40.09564971923828","40.09564971923828","40.09564971923828","36.6859245300293","36.6859245300293","36.6859245300293","41.387630462646484","41.387630462646484","41.387630462646484","38.31563186645508","38.31563186645508","38.31563186645508","35.779998779296875","35.779998779296875","35.779998779296875"
"40","38.89472579956055","38.89472579956055","38.89472579956055","39.423622131347656","39.423622131347656","39.423622131347656","33.610958099365234","33.610958099365234","33.610958099365234","39.0362548828125","39.0362548828125","39.0362548828125","36.02958679199219","36.02958679199219","36.02958679199219","35.40999984741211","35.40999984741211","35.40999984741211"
"41","33.27613067626953","33.27613067626953","33.27613067626953","32.91826248168945","32.91826248168945","32.91826248168945","31.480806350708008","31.480806350708008","31.480806350708008","33.44966506958008","33.44966506958008","33.44966506958008","32.04967498779297","32.04967498779297","32.04967498779297","30.739999771118164","30.739999771118164","30.739999771118164"
"42","30.938024520874023","30.938024520874023","30.938024520874023","30.590166091918945","30.590166091918945","30.590166091918945","29.37151336669922","29.37151336669922","29.37151336669922","30.92815399169922","30.92815399169922","30.92815399169922","30.70697593688965","30.70697593688965","30.70697593688965","29.329999923706055","29.329999923706055","29.329999923706055"
"43","29.969457626342773","29.969457626342773","29.969457626342773","30.55118751525879","30.55118751525879","30.55118751525879","28.94491958618164","28.94491958618164","28.94491958618164","30.883670806884766","30.883670806884766","30.883670806884766","29.47522735595703","29.47522735595703","29.47522735595703","29.459999084472656","29.459999084472656","29.459999084472656"
"44","29.742198944091797","29.742198944091797","29.742198944091797","32.07672882080078","32.07672882080078","32.07672882080078","28.553348541259766","28.553348541259766","28.553348541259766","31.088050842285156","31.088050842285156","31.088050842285156","29.815040588378906","29.815040588378906","29.815040588378906","28.049999237060547","28.049999237060547","28.049999237060547"
"45","30.39286994934082","30.39286994934082","30.39286994934082","34.466426849365234","34.466426849365234","34.466426849365234","29.926769256591797","29.926769256591797","29.926769256591797","32.61282730102539","32.61282730102539","32.61282730102539","30.366256713867188","30.366256713867188","30.366256713867188","29.170000076293945","29.170000076293945","29.170000076293945"
"46","30.903871536254883","30.903871536254883","30.903871536254883","35.863739013671875","35.863739013671875","35.863739013671875","30.818513870239258","30.818513870239258","30.818513870239258","34.875099182128906","34.875099182128906","34.875099182128906","31.078643798828125","31.078643798828125","31.078643798828125","33.099998474121094","33.099998474121094","33.099998474121094"
"47","30.30528450012207","30.30528450012207","30.30528450012207","34.93862533569336","34.93862533569336","34.93862533569336","28.581764221191406","28.581764221191406","28.581764221191406","35.36252975463867","35.36252975463867","35.36252975463867","30.8765926361084","30.8765926361084","30.8765926361084","37.290000915527344","37.290000915527344","37.290000915527344"
"48","27.433380126953125","27.433380126953125","27.433380126953125","29.15790557861328","29.15790557861328","29.15790557861328","27.46053123474121","27.46053123474121","27.46053123474121","31.4405517578125","31.4405517578125","31.4405517578125","32.37303924560547","32.37303924560547","32.37303924560547","41.16999816894531","41.16999816894531","41.16999816894531"
"49","24.723024368286133","24.723024368286133","24.723024368286133","26.760154724121094","26.760154724121094","26.760154724121094","25.897348403930664","25.897348403930664","25.897348403930664","28.616573333740234","28.616573333740234","28.616573333740234","30.38079071044922","30.38079071044922","30.38079071044922","39.16999816894531","39.16999816894531","39.16999816894531"
"50","22.50480079650879","22.50480079650879","22.50480079650879","26.431882858276367","26.431882858276367","26.431882858276367","24.207937240600586","24.207937240600586","24.207937240600586","25.84229850769043","25.84229850769043","25.84229850769043","27.897384643554688","27.897384643554688","27.897384643554688","30.34000015258789","30.34000015258789","30.34000015258789"
"51","23.443647384643555","23.443647384643555","23.443647384643555","26.12173080444336","26.12173080444336","26.12173080444336","26.26629066467285","26.26629066467285","26.26629066467285","24.061172485351562","24.061172485351562","24.061172485351562","25.629032135009766","25.629032135009766","25.629032135009766","29.510000228881836","29.510000228881836","29.510000228881836"
"52","22.6549072265625","22.6549072265625","22.6549072265625","25.485702514648438","25.485702514648438","25.485702514648438","26.860876083374023","26.860876083374023","26.860876083374023","23.671661376953125","23.671661376953125","23.671661376953125","25.0541934967041","25.0541934967041","25.0541934967041","30.1200008392334","30.1200008392334","30.1200008392334"
"53","22.815479278564453","22.815479278564453","22.815479278564453","25.87416648864746","25.87416648864746","25.87416648864746","27.4943790435791","27.4943790435791","27.4943790435791","24.89596939086914","24.89596939086914","24.89596939086914","26.144773483276367","26.144773483276367","26.144773483276367","29.280000686645508","29.280000686645508","29.280000686645508"
"54","23.024477005004883","23.024477005004883","23.024477005004883","27.193805694580078","27.193805694580078","27.193805694580078","28.142892837524414","28.142892837524414","28.142892837524414","26.076831817626953","26.076831817626953","26.076831817626953","27.108898162841797","27.108898162841797","27.108898162841797","28.56999969482422","28.56999969482422","28.56999969482422"
"55","22.493553161621094","22.493553161621094","22.493553161621094","29.436687469482422","29.436687469482422","29.436687469482422","28.36314582824707","28.36314582824707","28.36314582824707","27.345348358154297","27.345348358154297","27.345348358154297","27.21212387084961","27.21212387084961","27.21212387084961","28.780000686645508","28.780000686645508","28.780000686645508"
"56","21.778417587280273","21.778417587280273","21.778417587280273","30.86767578125","30.86767578125","30.86767578125","27.334959030151367","27.334959030151367","27.334959030151367","28.461322784423828","28.461322784423828","28.461322784423828","27.58258056640625","27.58258056640625","27.58258056640625","34.220001220703125","34.220001220703125","34.220001220703125"
"57","20.194063186645508","20.194063186645508","20.194063186645508","35.78956604003906","35.78956604003906","35.78956604003906","26.682748794555664","26.682748794555664","26.682748794555664","29.21955108642578","29.21955108642578","29.21955108642578","27.280746459960938","27.280746459960938","27.280746459960938","35.060001373291016","35.060001373291016","35.060001373291016"
"58","21.64826774597168","21.64826774597168","21.64826774597168","50.90801239013672","50.90801239013672","50.90801239013672","27.60223960876465","27.60223960876465","27.60223960876465","37.404197692871094","37.404197692871094","37.404197692871094","33.783203125","33.783203125","33.783203125","42.0099983215332","42.0099983215332","42.0099983215332"
"59","45.638336181640625","45.638336181640625","45.638336181640625","59.072086334228516","59.072086334228516","59.072086334228516","29.024141311645508","29.024141311645508","29.024141311645508","61.44113540649414","61.44113540649414","61.44113540649414","48.57296371459961","48.57296371459961","48.57296371459961","43.060001373291016","43.060001373291016","43.060001373291016"
"60","50.17444610595703","50.17444610595703","50.17444610595703","51.80527877807617","51.80527877807617","51.80527877807617","30.833301544189453","30.833301544189453","30.833301544189453","54.98421859741211","54.98421859741211","54.98421859741211","47.97237777709961","47.97237777709961","47.97237777709961","45.810001373291016","45.810001373291016","45.810001373291016"
"61","42.5067253112793","42.5067253112793","42.5067253112793","44.334442138671875","44.334442138671875","44.334442138671875","33.02574920654297","33.02574920654297","33.02574920654297","45.377437591552734","45.377437591552734","45.377437591552734","42.32403564453125","42.32403564453125","42.32403564453125","46.779998779296875","46.779998779296875","46.779998779296875"
"62","39.00799560546875","39.00799560546875","39.00799560546875","39.87664794921875","39.87664794921875","39.87664794921875","33.815826416015625","33.815826416015625","33.815826416015625","41.95173645019531","41.95173645019531","41.95173645019531","38.725887298583984","38.725887298583984","38.725887298583984","39.86000061035156","39.86000061035156","39.86000061035156"
"63","36.15245819091797","36.15245819091797","36.15245819091797","37.071144104003906","37.071144104003906","37.071144104003906","32.51905059814453","32.51905059814453","32.51905059814453","39.16971206665039","39.16971206665039","39.16971206665039","35.53322219848633","35.53322219848633","35.53322219848633","37.150001525878906","37.150001525878906","37.150001525878906"
"64","33.59405517578125","33.59405517578125","33.59405517578125","36.28749084472656","36.28749084472656","36.28749084472656","31.35749626159668","31.35749626159668","31.35749626159668","36.30547332763672","36.30547332763672","36.30547332763672","32.63718032836914","32.63718032836914","32.63718032836914","33.130001068115234","33.130001068115234","33.130001068115234"
"65","28.0358829498291","28.0358829498291","28.0358829498291","31.72174835205078","31.72174835205078","31.72174835205078","27.91135025024414","27.91135025024414","27.91135025024414","30.940975189208984","30.940975189208984","30.940975189208984","30.093467712402344","30.093467712402344","30.093467712402344","30.8700008392334","30.8700008392334","30.8700008392334"
"66","26.27056884765625","26.27056884765625","26.27056884765625","30.707260131835938","30.707260131835938","30.707260131835938","27.239578247070312","27.239578247070312","27.239578247070312","29.89178466796875","29.89178466796875","29.89178466796875","29.649747848510742","29.649747848510742","29.649747848510742","28.459999084472656","28.459999084472656","28.459999084472656"
"67","26.033960342407227","26.033960342407227","26.033960342407227","30.97564697265625","30.97564697265625","30.97564697265625","26.645885467529297","26.645885467529297","26.645885467529297","29.48453712463379","29.48453712463379","29.48453712463379","29.318357467651367","29.318357467651367","29.318357467651367","26.8700008392334","26.8700008392334","26.8700008392334"
"68","26.584064483642578","26.584064483642578","26.584064483642578","32.09937286376953","32.09937286376953","32.09937286376953","26.955181121826172","26.955181121826172","26.955181121826172","29.991668701171875","29.991668701171875","29.991668701171875","30.088171005249023","30.088171005249023","30.088171005249023","27.020000457763672","27.020000457763672","27.020000457763672"
"69","28.56593894958496","28.56593894958496","28.56593894958496","33.35703659057617","33.35703659057617","33.35703659057617","28.25102996826172","28.25102996826172","28.25102996826172","30.307706832885742","30.307706832885742","30.307706832885742","31.58597755432129","31.58597755432129","31.58597755432129","28.700000762939453","28.700000762939453","28.700000762939453"
"70","29.3395938873291","29.3395938873291","29.3395938873291","33.39888000488281","33.39888000488281","33.39888000488281","29.87977409362793","29.87977409362793","29.87977409362793","30.227279663085938","30.227279663085938","30.227279663085938","32.00954055786133","32.00954055786133","32.00954055786133","29.489999771118164","29.489999771118164","29.489999771118164"
"71","29.334997177124023","29.334997177124023","29.334997177124023","32.16993713378906","32.16993713378906","32.16993713378906","29.490468978881836","29.490468978881836","29.490468978881836","31.301551818847656","31.301551818847656","31.301551818847656","30.364402770996094","30.364402770996094","30.364402770996094","32.709999084472656","32.709999084472656","32.709999084472656"
"72","31.11746597290039","31.11746597290039","31.11746597290039","28.396604537963867","28.396604537963867","28.396604537963867","27.80770492553711","27.80770492553711","27.80770492553711","37.12739562988281","37.12739562988281","37.12739562988281","34.68915939331055","34.68915939331055","34.68915939331055","46.84000015258789","46.84000015258789","46.84000015258789"
"73","29.378009796142578","29.378009796142578","29.378009796142578","29.151004791259766","29.151004791259766","29.151004791259766","28.871549606323242","28.871549606323242","28.871549606323242","37.149925231933594","37.149925231933594","37.149925231933594","35.777530670166016","35.777530670166016","35.777530670166016","38.560001373291016","38.560001373291016","38.560001373291016"
"74","27.77652359008789","27.77652359008789","27.77652359008789","27.470165252685547","27.470165252685547","27.470165252685547","29.971637725830078","29.971637725830078","29.971637725830078","35.502750396728516","35.502750396728516","35.502750396728516","36.231529235839844","36.231529235839844","36.231529235839844","37.31999969482422","37.31999969482422","37.31999969482422"
"75","28.72677993774414","28.72677993774414","28.72677993774414","23.575624465942383","23.575624465942383","23.575624465942383","28.741886138916016","28.741886138916016","28.741886138916016","34.74055862426758","34.74055862426758","34.74055862426758","33.349273681640625","33.349273681640625","33.349273681640625","30.239999771118164","30.239999771118164","30.239999771118164"
"76","26.29754638671875","26.29754638671875","26.29754638671875","20.964372634887695","20.964372634887695","20.964372634887695","26.72966957092285","26.72966957092285","26.72966957092285","30.19610023498535","30.19610023498535","30.19610023498535","27.736217498779297","27.736217498779297","27.736217498779297","29.639999389648438","29.639999389648438","29.639999389648438"
"77","25.768733978271484","25.768733978271484","25.768733978271484","21.258825302124023","21.258825302124023","21.258825302124023","24.973421096801758","24.973421096801758","24.973421096801758","26.54092788696289","26.54092788696289","26.54092788696289","26.416179656982422","26.416179656982422","26.416179656982422","39.040000915527344","39.040000915527344","39.040000915527344"
"78","25.736949920654297","25.736949920654297","25.736949920654297","22.13311767578125","22.13311767578125","22.13311767578125","24.5435848236084","24.5435848236084","24.5435848236084","24.599605560302734","24.599605560302734","24.599605560302734","27.5106201171875","27.5106201171875","27.5106201171875","36.650001525878906","36.650001525878906","36.650001525878906"
"79","27.869293212890625","27.869293212890625","27.869293212890625","23.045719146728516","23.045719146728516","23.045719146728516","25.982929229736328","25.982929229736328","25.982929229736328","23.874181747436523","23.874181747436523","23.874181747436523","29.74529266357422","29.74529266357422","29.74529266357422","31.18000030517578","31.18000030517578","31.18000030517578"
"80","28.65462875366211","28.65462875366211","28.65462875366211","25.402620315551758","25.402620315551758","25.402620315551758","26.278186798095703","26.278186798095703","26.278186798095703","23.24553108215332","23.24553108215332","23.24553108215332","30.462139129638672","30.462139129638672","30.462139129638672","40.86000061035156","40.86000061035156","40.86000061035156"
"81","32.95286560058594","32.95286560058594","32.95286560058594","30.633670806884766","30.633670806884766","30.633670806884766","28.752674102783203","28.752674102783203","28.752674102783203","24.093830108642578","24.093830108642578","24.093830108642578","35.021114349365234","35.021114349365234","35.021114349365234","32.439998626708984","32.439998626708984","32.439998626708984"
